sampleID	fastq1	fastq2	bam
ERR3376856	ERR3376856_1.fastq.gz	ERR3376856_2.fastq.gz	
ERR3376857	ERR3376857_1.fastq.gz	ERR3376857_2.fastq.gz	
ERR3376858	ERR3376858_1.fastq.gz	ERR3376858_2.fastq.gz	
ERR3376859	ERR3376859_1.fastq.gz	ERR3376859_2.fastq.gz	
ERR3376860	ERR3376860_1.fastq.gz	ERR3376860_2.fastq.gz	
ERR3376861	ERR3376861_1.fastq.gz	ERR3376861_2.fastq.gz	
ERR3376862	ERR3376862_1.fastq.gz	ERR3376862_2.fastq.gz	
ERR3376864	ERR3376864_1.fastq.gz	ERR3376864_2.fastq.gz	
ERR3376863	ERR3376863_1.fastq.gz	ERR3376863_2.fastq.gz	
ERR3376865	ERR3376865_1.fastq.gz	ERR3376865_2.fastq.gz
